content,file,entity_id,entity_type,entity_specificity,mention_id,mention_text,mention_type,mention_offset,label_polarity
"I don't like obama because he is a socialist pig.If the perps are black they are still guilty.I am tired of thugs crying that they get in trouble just because they are black and that society made them do it, bull!!!!",35587c6d8aa67724ba23231dd16f7b44,ent-1227,PER,specific,m-1230,they,PRO,2841,neg
"I don't like obama because he is a socialist pig.If the perps are black they are still guilty.I am tired of thugs crying that they get in trouble just because they are black and that society made them do it, bull!!!!",35587c6d8aa67724ba23231dd16f7b44,ent-1227,PER,specific,m-1284,the perps,NOM,3745,neg
"I don't like obama because he is a socialist pig.If the perps are black they are still guilty.I am tired of thugs crying that they get in trouble just because they are black and that society made them do it, bull!!!!",35587c6d8aa67724ba23231dd16f7b44,ent-1227,PER,specific,m-1290,they,PRO,3765,neg
"None

You are an idiot.I don't like obama because he is a socialist pig.",35587c6d8aa67724ba23231dd16f7b44,ent-57,PER,specific,m-420,You,PRO,2750,neg
"None

You are an idiot.I don't like obama because he is a socialist pig.",35587c6d8aa67724ba23231dd16f7b44,ent-57,PER,specific,m-444,You,PRO,3674,neg
"None
Because post racial America is showing itself... the same people who don't not like Obama because of his race post this kind of crap.None",35587c6d8aa67724ba23231dd16f7b44,ent-1218,PER,nonspecific,m-1212,the same people who don't not like Obama because of his race,NOM,2654,neg
"None
Because post racial America is showing itself... the same people who don't not like Obama because of his race post this kind of crap.None",35587c6d8aa67724ba23231dd16f7b44,ent-1218,PER,nonspecific,m-1278,the same people who don't not like Obama because of his race,NOM,3578,neg
"If the perps are black they are still guilty.I am tired of thugs crying that they get in trouble just because they are black and that society made them do it, bull!!!!They are thugs and deserve a bullet.",35587c6d8aa67724ba23231dd16f7b44,ent-1242,PER,nonspecific,m-1236,thugs,NOM,2878,neg
"If the perps are black they are still guilty.I am tired of thugs crying that they get in trouble just because they are black and that society made them do it, bull!!!!They are thugs and deserve a bullet.",35587c6d8aa67724ba23231dd16f7b44,ent-1242,PER,nonspecific,m-1245,they,PRO,2896,neg
"If the perps are black they are still guilty.I am tired of thugs crying that they get in trouble just because they are black and that society made them do it, bull!!!!They are thugs and deserve a bullet.",35587c6d8aa67724ba23231dd16f7b44,ent-1242,PER,nonspecific,m-1251,they,PRO,2929,neg
"I am tired of thugs crying that they get in trouble just because they are black and that society made them do it, bull!!!!They are thugs and deserve a bullet.None",35587c6d8aa67724ba23231dd16f7b44,ent-1242,PER,nonspecific,m-1257,They,PRO,2987,neg
"If the perps are black they are still guilty.I am tired of thugs crying that they get in trouble just because they are black and that society made them do it, bull!!!!They are thugs and deserve a bullet.",35587c6d8aa67724ba23231dd16f7b44,ent-1242,PER,nonspecific,m-1296,thugs,NOM,3802,neg
"If the perps are black they are still guilty.I am tired of thugs crying that they get in trouble just because they are black and that society made them do it, bull!!!!They are thugs and deserve a bullet.",35587c6d8aa67724ba23231dd16f7b44,ent-1242,PER,nonspecific,m-1302,they,PRO,3820,neg
"If the perps are black they are still guilty.I am tired of thugs crying that they get in trouble just because they are black and that society made them do it, bull!!!!They are thugs and deserve a bullet.",35587c6d8aa67724ba23231dd16f7b44,ent-1242,PER,nonspecific,m-1308,they,PRO,3853,neg
"I am tired of thugs crying that they get in trouble just because they are black and that society made them do it, bull!!!!They are thugs and deserve a bullet.None",35587c6d8aa67724ba23231dd16f7b44,ent-1242,PER,nonspecific,m-1314,They,PRO,3911,neg
"I am tired of thugs crying that they get in trouble just because they are black and that society made them do it, bull!!!!They are thugs and deserve a bullet.None",35587c6d8aa67724ba23231dd16f7b44,ent-1242,PER,nonspecific,m-1795,thugs,NOM,3920,neg
"If the perps are black they are still guilty.I am tired of thugs crying that they get in trouble just because they are black and that society made them do it, bull!!!!They are thugs and deserve a bullet.",35587c6d8aa67724ba23231dd16f7b44,ent-1242,PER,nonspecific,m-1867,them,PRO,2966,neg
"I am tired of thugs crying that they get in trouble just because they are black and that society made them do it, bull!!!!They are thugs and deserve a bullet.None",35587c6d8aa67724ba23231dd16f7b44,ent-1242,PER,nonspecific,m-1873,thugs,NOM,2996,neg
"If the perps are black they are still guilty.I am tired of thugs crying that they get in trouble just because they are black and that society made them do it, bull!!!!They are thugs and deserve a bullet.",35587c6d8aa67724ba23231dd16f7b44,ent-1242,PER,nonspecific,m-1959,them,PRO,3890,neg
"

Why is the title of your thread so insidious?Why not a title lie ""School Officials Screw over Rape Victim?""That one would be more accurate.",35587c6d8aa67724ba23231dd16f7b44,ent-84,PER,specific,m-654,School Officials,NOM,6578,neg
"None

You are an idiot.I don't like obama because he is a socialist pig.",35587c6d8aa67724ba23231dd16f7b44,ent-1777,PER,nonspecific,m-1771,an idiot,NOM,2758,neg
"None

You are an idiot.I don't like obama because he is a socialist pig.",35587c6d8aa67724ba23231dd16f7b44,ent-1777,PER,nonspecific,m-1947,an idiot,NOM,3682,neg
"

I don't think it is a race issue either.They need to throw these punks in jail!Although you do make a good point that it's only a hate crime if a white person picks on a black person.",35587c6d8aa67724ba23231dd16f7b44,ent-39,PER,specific,m-216,these punks,NOM,2041,neg
"None
If she was my daughter, those 2 punks that raped her would be found one day after football practice in a ditch with a bullet in their heads.None",35587c6d8aa67724ba23231dd16f7b44,ent-39,PER,specific,m-222,their,PRO,2466,neg
"None
They should have been expelled from school at a minimum.None",35587c6d8aa67724ba23231dd16f7b44,ent-39,PER,specific,m-228,They,PRO,3095,neg
"None
They should have been expelled from school at a minimum.None",35587c6d8aa67724ba23231dd16f7b44,ent-39,PER,specific,m-234,They,PRO,3251,neg
"None
They should have been expelled from school at a minimum.None",35587c6d8aa67724ba23231dd16f7b44,ent-39,PER,specific,m-240,They,PRO,4236,neg
"None
If she was my daughter, those 2 punks that raped her would be found one day after football practice in a ditch with a bullet in their heads.None",35587c6d8aa67724ba23231dd16f7b44,ent-39,PER,specific,m-246,their,PRO,4716,neg
"None
If she was my daughter, those 2 punks that raped her would be found one day after football practice in a ditch with a bullet in their heads.None",35587c6d8aa67724ba23231dd16f7b44,ent-39,PER,specific,m-252,those 2 punks that raped her,NOM,4612,neg
"None
If she was my daughter, those 2 punks that raped her would be found one day after football practice in a ditch with a bullet in their heads.None",35587c6d8aa67724ba23231dd16f7b44,ent-39,PER,specific,m-258,those 2 punks that raped her,NOM,2362,neg
"None

I guess you know the whole story and can make that objective assessment?None",35587c6d8aa67724ba23231dd16f7b44,ent-63,PER,specific,m-534,you,PRO,3327,neg
"None

I guess you know the whole story and can make that objective assessment?None",35587c6d8aa67724ba23231dd16f7b44,ent-63,PER,specific,m-552,you,PRO,4312,neg
"None

You need to learn the definition of socialist, then readjust your priorities.Nevertheless, the whole stereotype you described is complete bullshit.",35587c6d8aa67724ba23231dd16f7b44,ent-54,PER,specific,m-384,You,PRO,3959,neg
"

You need to learn the definition of socialist, then readjust your priorities.Nevertheless, the whole stereotype you described is complete bullshit.None",35587c6d8aa67724ba23231dd16f7b44,ent-54,PER,specific,m-396,you,PRO,4072,neg
"

You are an idiot.I don't like obama because he is a socialist pig.If the perps are black they are still guilty.",35587c6d8aa67724ba23231dd16f7b44,ent-60,PER,specific,m-486,obama,NAM,2781,neg
"

You are an idiot.I don't like obama because he is a socialist pig.If the perps are black they are still guilty.",35587c6d8aa67724ba23231dd16f7b44,ent-60,PER,specific,m-492,he,PRO,2795,neg
"

You are an idiot.I don't like obama because he is a socialist pig.If the perps are black they are still guilty.",35587c6d8aa67724ba23231dd16f7b44,ent-60,PER,specific,m-510,obama,NAM,3705,neg
"

You are an idiot.I don't like obama because he is a socialist pig.If the perps are black they are still guilty.",35587c6d8aa67724ba23231dd16f7b44,ent-60,PER,specific,m-516,he,PRO,3719,neg
"

You are an idiot.I don't like obama because he is a socialist pig.If the perps are black they are still guilty.",35587c6d8aa67724ba23231dd16f7b44,ent-60,PER,specific,m-1780,a socialist pig,NOM,2801,neg
"

You are an idiot.I don't like obama because he is a socialist pig.If the perps are black they are still guilty.",35587c6d8aa67724ba23231dd16f7b44,ent-60,PER,specific,m-1953,a socialist pig,NOM,3725,neg
Besides which sex with women that are voluntarily engaged is an awful lot better.Young guys need a talkin' to...None,35587c6d8aa67724ba23231dd16f7b44,ent-1454,PER,nonspecific,m-1448,Young guys,NOM,5301,neg
"How about jail?16 year old girls do not consent to gang rape.No matter how ""horny"" or drunk they are.",35587c6d8aa67724ba23231dd16f7b44,ent-2071,PER,nonspecific,m-2065,gang,NOM,5471,neg
None Thanks for that Kit.We were not in the swamp proper but the property was near the border.,361e1c2ca3a1e21c618e0e8fab959e30,ent-33,PER,specific,m-573,Kit,NAM,4654,pos
"None
You are so good for not letting rip at her in front of her friends.I would have said something in that situation.",36d45aff571e3fbe036f309c18d31668,ent-21,PER,specific,m-483,You,PRO,3157,pos
"
I second.Every attack by the Palestinians is a victory for Sharona nd Co., becasue it gives them justification for another counter.Both sides are wrong.",376c304800b734b2a5a2c87b19eddc2a,ent-42,PER,specific,m-468,Sharona,NAM,4415,neg
"Every attack by the Palestinians is a victory for Sharona nd Co., becasue it gives them justification for another counter.Both sides are wrong.Neither wants peace, both want victory.",376c304800b734b2a5a2c87b19eddc2a,ent-75,GPE,specific,m-582,Both sides,NOM,4488,neg
"Both sides are wrong.Neither wants peace, both want victory.Even if it means most of their own side dies in the process.",376c304800b734b2a5a2c87b19eddc2a,ent-75,GPE,specific,m-588,both,PRO,4531,neg
"Neither wants peace, both want victory.Even if it means most of their own side dies in the process.None",376c304800b734b2a5a2c87b19eddc2a,ent-75,GPE,specific,m-594,their,PRO,4575,neg
"Both sides are wrong.Neither wants peace, both want victory.Even if it means most of their own side dies in the process.",376c304800b734b2a5a2c87b19eddc2a,ent-1680,GPE,nonspecific,m-1674,Neither,PRO,4510,neg
"None
I always thought they were smart fellows too!None",376c304800b734b2a5a2c87b19eddc2a,ent-45,PER,specific,m-474,they,PRO,4711,pos
"
I second.Every attack by the Palestinians is a victory for Sharona nd Co., becasue it gives them justification for another counter.Both sides are wrong.",376c304800b734b2a5a2c87b19eddc2a,ent-45,PER,specific,m-480,them,PRO,4448,neg
"None
I always thought they were smart fellows too!None",376c304800b734b2a5a2c87b19eddc2a,ent-45,PER,specific,m-903,smart fellows,NOM,4721,pos
"One of us got to have some relief!""I believe the Pals and Israelis are fast getting to that point.My heart goes out to all of them.",376c304800b734b2a5a2c87b19eddc2a,ent-1417,PER,nonspecific,m-1411,the Pals and Israelis,NOM,866,pos
"One of us got to have some relief!""I believe the Pals and Israelis are fast getting to that point.My heart goes out to all of them.",376c304800b734b2a5a2c87b19eddc2a,ent-78,GPE,specific,m-600,Israelis,NAM,879,pos
What many fail to realize is that exiling Arafat might not be an option.He might be killed and that would be even harder on Israeli PR.The US is still against the move and IMO the only way we will see Arafat exiled is immediately after a terrorist attack.,376c304800b734b2a5a2c87b19eddc2a,ent-78,GPE,specific,m-660,Israeli,NAM,3601,neg
"I've had the idea that the Roadmap was a turning point toward one of the two possible directions-- toward peace, or the beginning of the ultimate fighting between the two.Reminiscent of that literate comedian, Jerry Clower.When the hunter and the cougar were stuck up in the tree, fighting and scratching--the hunter called down to his partner, ""Shoot!",376c304800b734b2a5a2c87b19eddc2a,ent-24,PER,specific,m-342,Jerry Clower,NAM,557,pos
"I've had the idea that the Roadmap was a turning point toward one of the two possible directions-- toward peace, or the beginning of the ultimate fighting between the two.Reminiscent of that literate comedian, Jerry Clower.When the hunter and the cougar were stuck up in the tree, fighting and scratching--the hunter called down to his partner, ""Shoot!",376c304800b734b2a5a2c87b19eddc2a,ent-24,PER,specific,m-1402,that literate comedian,NOM,533,pos
"Neither wants peace, both want victory.Even if it means most of their own side dies in the process.None",376c304800b734b2a5a2c87b19eddc2a,ent-897,PER,nonspecific,m-891,their own side,NOM,4575,neg
"I believe the Pals and Israelis are fast getting to that point.My heart goes out to all of them.(The innocents, who have to live in that violence, anyway...)",376c304800b734b2a5a2c87b19eddc2a,ent-822,PER,nonspecific,m-816,all of them,NOM,941,pos
"My heart goes out to all of them.(The innocents, who have to live in that violence, anyway...)None",376c304800b734b2a5a2c87b19eddc2a,ent-822,PER,nonspecific,m-825,The innocents,NOM,955,pos
"My heart goes out to all of them.(The innocents, who have to live in that violence, anyway...)None",376c304800b734b2a5a2c87b19eddc2a,ent-822,PER,nonspecific,m-1439,who,PRO,970,pos
"Neither wants peace, both want victory.Even if it means most of their own side dies in the process.None",376c304800b734b2a5a2c87b19eddc2a,ent-900,PER,nonspecific,m-885,most of their own side,NOM,4567,neg
"One of us got to have some relief!""I believe the Pals and Israelis are fast getting to that point.My heart goes out to all of them.",376c304800b734b2a5a2c87b19eddc2a,ent-72,GPE,specific,m-558,Pals,NAM,870,pos
"
I second.Every attack by the Palestinians is a victory for Sharona nd Co., becasue it gives them justification for another counter.Both sides are wrong.",376c304800b734b2a5a2c87b19eddc2a,ent-72,GPE,specific,m-576,Palestinians,NAM,4385,neg
"One of us got to have some relief!""I believe the Pals and Israelis are fast getting to that point.My heart goes out to all of them.",376c304800b734b2a5a2c87b19eddc2a,ent-1426,PER,nonspecific,m-1420,the Pals and Israelis,NOM,866,pos
He might be killed and that would be even harder on Israeli PR.The US is still against the move and IMO the only way we will see Arafat exiled is immediately after a terrorist attack.If there is an attack with more than 10 casualties I believe Israel might make the attempt within the 48 hour window of the aftermath.,376c304800b734b2a5a2c87b19eddc2a,ent-1689,PER,nonspecific,m-1683,terrorist,NOM,3717,neg
We give them bonuses this time a year.Last few years they werent overly impressive...but the appreciation was there...and returned with GREAT quality and a great representation of our firm.I suggest you spread yourself out.,37d781089c669131c5118415cf470422,ent-1263,PER,nonspecific,m-510,they,PRO,4887,neg
We explain that to our tempos when they apply with us so they understand the importance of always being reachable..to the best oif their ability.We have some temps that make great money with us.Great relationships.,37d781089c669131c5118415cf470422,ent-1263,PER,nonspecific,m-1257,some temps,NOM,1745,pos
Great relationships.We give them bonuses this time a year.Last few years they werent overly impressive...but the appreciation was there...and returned with GREAT quality and a great representation of our firm.,37d781089c669131c5118415cf470422,ent-1263,PER,nonspecific,m-1272,them,PRO,1816,pos
We give them bonuses this time a year.Last few years they werent overly impressive...but the appreciation was there...and returned with GREAT quality and a great representation of our firm.I suggest you spread yourself out.,37d781089c669131c5118415cf470422,ent-1263,PER,nonspecific,m-1278,they,PRO,1862,neg
We explain that to our tempos when they apply with us so they understand the importance of always being reachable..to the best oif their ability.We have some temps that make great money with us.Great relationships.,37d781089c669131c5118415cf470422,ent-1263,PER,nonspecific,m-1990,some temps,NOM,4770,pos
Great relationships.We give them bonuses this time a year.Last few years they werent overly impressive...but the appreciation was there...and returned with GREAT quality and a great representation of our firm.,37d781089c669131c5118415cf470422,ent-1263,PER,nonspecific,m-1996,them,PRO,4841,pos
"
Yep.People are just standing in lines waitin' to become teachers.Hoo boy.",37d781089c669131c5118415cf470422,ent-1627,PER,nonspecific,m-1621,teachers,NOM,2906,pos
You need to grow inventory to grow revenue.What many people dont realize is we value our temps as much as we value our clients.We must perform superior customer service for all of them.,37d781089c669131c5118415cf470422,ent-1158,PER,nonspecific,m-1149,our temps,NOM,971,pos
We give them bonuses this time a year.Last few years they werent overly impressive...but the appreciation was there...and returned with GREAT quality and a great representation of our firm.I suggest you spread yourself out.,37d781089c669131c5118415cf470422,ent-51,ORG,specific,m-636,our firm,NOM,1989,pos
We explain that to our tempos when they apply with us so they understand the importance of always being reachable..to the best oif their ability.We have some temps that make great money with us.Great relationships.,37d781089c669131c5118415cf470422,ent-51,ORG,specific,m-672,We,PRO,4762,pos
Great relationships.We give them bonuses this time a year.Last few years they werent overly impressive...but the appreciation was there...and returned with GREAT quality and a great representation of our firm.,37d781089c669131c5118415cf470422,ent-51,ORG,specific,m-678,We,PRO,4833,pos
We explain that to our tempos when they apply with us so they understand the importance of always being reachable..to the best oif their ability.We have some temps that make great money with us.Great relationships.,37d781089c669131c5118415cf470422,ent-51,ORG,specific,m-690,us,PRO,4808,pos
You need to grow inventory to grow revenue.What many people dont realize is we value our temps as much as we value our clients.We must perform superior customer service for all of them.,37d781089c669131c5118415cf470422,ent-51,ORG,specific,m-720,our,PRO,1001,pos
What many people dont realize is we value our temps as much as we value our clients.We must perform superior customer service for all of them.None,37d781089c669131c5118415cf470422,ent-51,ORG,specific,m-726,We,PRO,1014,pos
You need to grow inventory to grow revenue.What many people dont realize is we value our temps as much as we value our clients.We must perform superior customer service for all of them.,37d781089c669131c5118415cf470422,ent-51,ORG,specific,m-732,our,PRO,971,pos
We explain that to our tempos when they apply with us so they understand the importance of always being reachable..to the best oif their ability.We have some temps that make great money with us.Great relationships.,37d781089c669131c5118415cf470422,ent-51,ORG,specific,m-1266,us,PRO,1783,pos
We give them bonuses this time a year.Last few years they werent overly impressive...but the appreciation was there...and returned with GREAT quality and a great representation of our firm.I suggest you spread yourself out.,37d781089c669131c5118415cf470422,ent-51,ORG,specific,m-2002,our firm,NOM,5014,pos
"None

I'm all good now I got a full time job with the feds.None",37d781089c669131c5118415cf470422,ent-36,PER,specific,m-318,I,PRO,2566,none
"None

I'm all good now I got a full time job with the feds.None",37d781089c669131c5118415cf470422,ent-36,PER,specific,m-324,I,PRO,2583,none
"None

I'm all good now I got a full time job with the feds.None",37d781089c669131c5118415cf470422,ent-36,PER,specific,m-444,I,PRO,5608,none
"None

I'm all good now I got a full time job with the feds.None",37d781089c669131c5118415cf470422,ent-36,PER,specific,m-498,I,PRO,5591,none
"It willbe a valid rebuttle and we would lose.Furthermore, we would never want to alienate a good tempoorary employee with such an act.Maybe some of the smaller shops that try to maximize revenue at the cost of quality service do...but as someone in the industry for over two decades, 75% of that time as an owner, that is only successful for the short term.",37d781089c669131c5118415cf470422,ent-1098,PER,nonspecific,m-1113,a good tempoorary employee,NOM,535,pos
"Furthermore, we would never want to alienate a good tempoorary employee with such an act.Maybe some of the smaller shops that try to maximize revenue at the cost of quality service do...but as someone in the industry for over two decades, 75% of that time as an owner, that is only successful for the short term.For your inventory (temps) is at a constant and constantly rotating in and out.",37d781089c669131c5118415cf470422,ent-1394,ORG,nonspecific,m-1388,the smaller shops that try to maximize revenue at the cost of quality service,NOM,594,neg
"Furthermore, we would never want to alienate a good tempoorary employee with such an act.Maybe some of the smaller shops that try to maximize revenue at the cost of quality service do...but as someone in the industry for over two decades, 75% of that time as an owner, that is only successful for the short term.For your inventory (temps) is at a constant and constantly rotating in and out.",37d781089c669131c5118415cf470422,ent-1119,ORG,nonspecific,m-1122,some of the smaller shops that try to maximize revenue at the cost of quality service,NOM,586,neg
"None

Eventually we'll all be good with ""a full time job with the Feds.""None",37d781089c669131c5118415cf470422,ent-1349,PER,nonspecific,m-1343,we,PRO,5734,pos
"Furthermore, we would never want to alienate a good tempoorary employee with such an act.Maybe some of the smaller shops that try to maximize revenue at the cost of quality service do...but as someone in the industry for over two decades, 75% of that time as an owner, that is only successful for the short term.For your inventory (temps) is at a constant and constantly rotating in and out.",37d781089c669131c5118415cf470422,ent-8,PER,specific,m-96,someone in the industry for over two decades,NOM,684,pos
"Furthermore, we would never want to alienate a good tempoorary employee with such an act.Maybe some of the smaller shops that try to maximize revenue at the cost of quality service do...but as someone in the industry for over two decades, 75% of that time as an owner, that is only successful for the short term.For your inventory (temps) is at a constant and constantly rotating in and out.",37d781089c669131c5118415cf470422,ent-8,PER,specific,m-102,an owner,NOM,750,pos
"None

I never had any luck with the temp agencies, one time I got a voice mail from one of them saying they had a job for me.I called back, and the lady said sorry since you didn't answer we offered the job to the next person on the list who answered the phone, that didn't make any damn sense to me.",37d781089c669131c5118415cf470422,ent-1185,ORG,nonspecific,m-1179,the temp agencies,NOM,1110,neg
"None

I never had any luck with the temp agencies, one time I got a voice mail from one of them saying they had a job for me.I called back, and the lady said sorry since you didn't answer we offered the job to the next person on the list who answered the phone, that didn't make any damn sense to me.",37d781089c669131c5118415cf470422,ent-1185,ORG,nonspecific,m-1191,them,PRO,1169,neg
"None
I never had any luck with the temp agencies, one time I got a voice mail from one of them saying they had a job for me.I called back, and the lady said sorry since you didn't answer we offered the job to the next person on the list who answered the phone, that didn't make any damn sense to me.",37d781089c669131c5118415cf470422,ent-1185,ORG,nonspecific,m-1311,the temp agencies,NOM,4135,neg
"None
I never had any luck with the temp agencies, one time I got a voice mail from one of them saying they had a job for me.I called back, and the lady said sorry since you didn't answer we offered the job to the next person on the list who answered the phone, that didn't make any damn sense to me.",37d781089c669131c5118415cf470422,ent-1185,ORG,nonspecific,m-1317,them,PRO,4194,neg
You need to grow inventory to grow revenue.What many people dont realize is we value our temps as much as we value our clients.We must perform superior customer service for all of them.,37d781089c669131c5118415cf470422,ent-1155,PER,nonspecific,m-1143,many people,NOM,934,neg
What many people dont realize is we value our temps as much as we value our clients.We must perform superior customer service for all of them.None,37d781089c669131c5118415cf470422,ent-1176,PER,nonspecific,m-1170,all of them,NOM,1060,pos
What many people dont realize is we value our temps as much as we value our clients.We must perform superior customer service for all of them.None,37d781089c669131c5118415cf470422,ent-1176,PER,nonspecific,m-1426,them,PRO,1067,pos
What many people dont realize is we value our temps as much as we value our clients.We must perform superior customer service for all of them.None,37d781089c669131c5118415cf470422,ent-2105,PER,nonspecific,m-2209,customer,NOM,1039,pos
"None

Just say, the topic is beyond your understanding and its all good.Great move having government take over loans and reduce the payment.",37d781089c669131c5118415cf470422,ent-21,PER,specific,m-144,your,PRO,3037,neg
Shit pay..So yeah..I have first hand experience with it.None,37d781089c669131c5118415cf470422,ent-21,PER,specific,m-174,I,PRO,3695,none
"None

No, you had SECOND Hand experience.You never actually were a teacher: This would have given you first hand experience.",37d781089c669131c5118415cf470422,ent-21,PER,specific,m-180,you,PRO,3821,none
"

No, you had SECOND Hand experience.You never actually were a teacher: This would have given you first hand experience.None",37d781089c669131c5118415cf470422,ent-21,PER,specific,m-186,You,PRO,3854,none
Hoo boy.And cab drivers too!Although I think cab drivers pay slightly better.,37d781089c669131c5118415cf470422,ent-1645,PER,nonspecific,m-1639,cab drivers,NOM,2929,none
And cab drivers too!Although I think cab drivers pay slightly better.None,37d781089c669131c5118415cf470422,ent-1645,PER,nonspecific,m-1648,cab drivers,NOM,2963,none
We give them bonuses this time a year.Last few years they werent overly impressive...but the appreciation was there...and returned with GREAT quality and a great representation of our firm.I suggest you spread yourself out.,37d781089c669131c5118415cf470422,ent-1603,PER,nonspecific,m-1597,our,PRO,1989,pos
We give them bonuses this time a year.Last few years they werent overly impressive...but the appreciation was there...and returned with GREAT quality and a great representation of our firm.I suggest you spread yourself out.,37d781089c669131c5118415cf470422,ent-1603,PER,nonspecific,m-2008,our,PRO,5014,pos
You need to grow inventory to grow revenue.What many people dont realize is we value our temps as much as we value our clients.We must perform superior customer service for all of them.,37d781089c669131c5118415cf470422,ent-1167,PER,nonspecific,m-1161,our clients,NOM,1001,pos
"None

Eventually we'll all be good with ""a full time job with the Feds.""None",37d781089c669131c5118415cf470422,ent-54,ORG,specific,m-738,the Feds,NOM,5779,pos
"None

I'm all good now I got a full time job with the feds.None",37d781089c669131c5118415cf470422,ent-54,ORG,specific,m-744,the feds,NOM,5635,pos
"None

I'm all good now I got a full time job with the feds.None",37d781089c669131c5118415cf470422,ent-54,ORG,specific,m-750,the feds,NOM,2610,pos
"None
I never had any luck with the temp agencies, one time I got a voice mail from one of them saying they had a job for me.I called back, and the lady said sorry since you didn't answer we offered the job to the next person on the list who answered the phone, that didn't make any damn sense to me.",37d781089c669131c5118415cf470422,ent-60,ORG,specific,m-768,one of them,NOM,4187,neg
"None

I never had any luck with the temp agencies, one time I got a voice mail from one of them saying they had a job for me.I called back, and the lady said sorry since you didn't answer we offered the job to the next person on the list who answered the phone, that didn't make any damn sense to me.",37d781089c669131c5118415cf470422,ent-60,ORG,specific,m-774,one of them,NOM,1162,neg
"None
I never had any luck with the temp agencies, one time I got a voice mail from one of them saying they had a job for me.I called back, and the lady said sorry since you didn't answer we offered the job to the next person on the list who answered the phone, that didn't make any damn sense to me.",37d781089c669131c5118415cf470422,ent-60,ORG,specific,m-780,they,PRO,4206,neg
"None

I never had any luck with the temp agencies, one time I got a voice mail from one of them saying they had a job for me.I called back, and the lady said sorry since you didn't answer we offered the job to the next person on the list who answered the phone, that didn't make any damn sense to me.",37d781089c669131c5118415cf470422,ent-60,ORG,specific,m-786,they,PRO,1181,neg
"

Just say, the topic is beyond your understanding and its all good.Great move having government take over loans and reduce the payment.You will be paying longer and more interest.",37d781089c669131c5118415cf470422,ent-63,ORG,specific,m-792,government,NOM,3093,pos
"
There is no evil conspiracy here.Fox News has been proven to be more fair &amp; balanced than Liberal Media outlets.Just take a look at the number of Liberal/Socialist commentators they have on air.",389c70a4859f7528cc6e8b84c10766d7,ent-66,ORG,specific,m-654,Fox News,NAM,3524,pos
Fox News has been proven to be more fair &amp; balanced than Liberal Media outlets.Just take a look at the number of Liberal/Socialist commentators they have on air.Someone posted the list earlier.,389c70a4859f7528cc6e8b84c10766d7,ent-66,ORG,specific,m-660,they,PRO,3673,pos
"None

You're 'probably' an overly emotional whiner.Truthfully, I don't give a rat's ass what Murdoch inherited - it's not my business.",389c70a4859f7528cc6e8b84c10766d7,ent-18,PER,specific,m-360,You,PRO,2458,neg
"Truthfully, I don't give a rat's ass what Murdoch inherited - it's not my business.However, you seem to have an unhealthy interest in other people's lives.How sad.",389c70a4859f7528cc6e8b84c10766d7,ent-18,PER,specific,m-366,you,PRO,2598,neg
"None

You're 'probably' an overly emotional whiner.Truthfully, I don't give a rat's ass what Murdoch inherited - it's not my business.",389c70a4859f7528cc6e8b84c10766d7,ent-18,PER,specific,m-1470,an overly emotional whiner,NOM,2476,neg
"None

Ahhh, the final gasp by a defeated neocon/teabagger toadie!Riddle me this, Cali-Girl...if you don't give a rat's ass about the subject at hand, then why devote so much time and effort in trying to disprove what I wrote?",389c70a4859f7528cc6e8b84c10766d7,ent-1301,PER,nonspecific,m-1295,a defeated neocon/teabagger toadie,NOM,2706,none
"None

Once again, Cali-Girl displays not only willful ignorance, but a insipid stubborness regarding her ignorance.The Sunday Mail is a standard MAJOR paper in Australia...90 years and standing.",389c70a4859f7528cc6e8b84c10766d7,ent-8,PER,specific,m-138,Cali-Girl,NAM,837,neg
"None

Once again, Cali-Girl displays not only willful ignorance, but a insipid stubborness regarding her ignorance.The Sunday Mail is a standard MAJOR paper in Australia...90 years and standing.",389c70a4859f7528cc6e8b84c10766d7,ent-8,PER,specific,m-144,her,PRO,920,neg
"The Sunday Mail is a standard MAJOR paper in Australia...90 years and standing.I knew this from years ago, but dumb toots like Cali-Girl could have easily googled such.I'll break my rules and do her homework for her just this once:

Murdoch, the son of Sir Keith Murdoch (18861952), a famous Australian war correspondent and publisher, studied at Worcester College, Oxford (M.A., 1953), and briefly worked as an editor on Lord Beaverbrook's London Daily Express, where he first gained practical experience in the sensationalist journalism that would be a major influence early in his career as a publisher.",389c70a4859f7528cc6e8b84c10766d7,ent-8,PER,specific,m-150,Cali-Girl,NAM,1064,neg
"I knew this from years ago, but dumb toots like Cali-Girl could have easily googled such.I'll break my rules and do her homework for her just this once:

Murdoch, the son of Sir Keith Murdoch (18861952), a famous Australian war correspondent and publisher, studied at Worcester College, Oxford (M.A., 1953), and briefly worked as an editor on Lord Beaverbrook's London Daily Express, where he first gained practical experience in the sensationalist journalism that would be a major influence early in his career as a publisher.His father having died, he returned to Australia in 1954 to take over his inheritance, the Sunday Mail and The News, both of Adelaide",389c70a4859f7528cc6e8b84c10766d7,ent-8,PER,specific,m-156,her,PRO,1133,neg
