em_arg_context,em_arg_entity_specificity,em_arg_entity_type,em_arg_id,em_arg_is_filler,em_arg_mention_id,em_arg_mention_length,em_arg_mention_noun_type,em_arg_mention_offset,em_arg_role,em_arg_text,event_mention_id,file,hopper_id
"Every attack by the Palestinians is a victory for Sharona nd Co., becasue it gives them justification for another counter.Both sides are wrong.Neither wants peace, both want victory.Even if it means most of their own side dies in the process.I always thought they were smart fellows too!",nonspecific,PER,ent-900,0,m-885,22,NOM,4567,victim,most of their own side,em-1294,376c304800b734b2a5a2c87b19eddc2a,h-1315
"or provoking an attackAgreed, dys.I second.Every attack by the Palestinians is a victory for Sharona nd Co., becasue it gives them justification for another counter.Both sides are wrong.Neither wants peace, both want victory.Even if it means most of their own side dies in the process.",specific,PER,ent-45,0,m-480,4,PRO,4448,attacker,them,em-1317,376c304800b734b2a5a2c87b19eddc2a,h-1338
"But, if you are alluding to the idea that some people may die, I agree.I have been feeling like the death of the Roadmap would be a catalyst to increased violence, and perhaps all out war.I think the expulsion of Arafat may bring that on.I've had the idea that the Roadmap was a turning point toward one of the two possible directions-- toward peace, or the beginning of the ultimate fighting between the two.Reminiscent of that literate comedian, Jerry Clower.When the hunter and the cougar were stuck up in the tree, fighting and scratching--the hunter called down to his partner, ""Shoot!Shoot!""",specific,GPE,ent-75,0,m-1361,7,NOM,508,attacker,the two,em-1497,376c304800b734b2a5a2c87b19eddc2a,h-1460
I'd like to expound on my prediction.With US diplomats on the way to pressure Israel there is some mumbling about building a prison around Arafat instead of exiling him.What many fail to realize is that exiling Arafat might not be an option.He might be killed and that would be even harder on Israeli PR.The US is still against the move and IMO the only way we will see Arafat exiled is immediately after a terrorist attack.If there is an attack with more than 10 casualties I believe Israel might make the attempt within the 48 hour window of the aftermath.Waiting for an attack sounds like Israel's MO.,specific,PER,ent-21,0,m-330,2,PRO,3549,target,He,em-1534,376c304800b734b2a5a2c87b19eddc2a,h-1562
"Present yourself as confident, reliable, and willing to do whatever you can to represent them at the highest of levels.....dont make it like ""I need to make money...or....im desperate...or....Im doing this only so unemployemtn sees I am looking for a job.Instead, make it like you are an asset to them.....not that they are an asset to you.You will find you are treated with great respect with that typoe of approach.I'm all good now I got a full time job with the feds.Eventually we'll all be good with ""a full time job with the Feds.""",specific,PER,ent-36,0,m-444,1,PRO,5608,person,I,em-896,37d781089c669131c5118415cf470422,h-16
"Present yourself as confident, reliable, and willing to do whatever you can to represent them at the highest of levels.....dont make it like ""I need to make money...or....im desperate...or....Im doing this only so unemployemtn sees I am looking for a job.Instead, make it like you are an asset to them.....not that they are an asset to you.You will find you are treated with great respect with that typoe of approach.I'm all good now I got a full time job with the feds.Eventually we'll all be good with ""a full time job with the Feds.""",specific,ORG,ent-54,0,m-744,8,NOM,5635,entity,the feds,em-896,37d781089c669131c5118415cf470422,h-16
"Present yourself as confident, reliable, and willing to do whatever you can to represent them at the highest of levels.....dont make it like ""I need to make money...or....im desperate...or....Im doing this only so unemployemtn sees I am looking for a job.Instead, make it like you are an asset to them.....not that they are an asset to you.You will find you are treated with great respect with that typoe of approach.I'm all good now I got a full time job with the feds.Yep.People are just standing in lines waitin' to become teachers.Hoo boy.",specific,PER,ent-36,0,m-324,1,PRO,2583,person,I,em-917,37d781089c669131c5118415cf470422,h-16
"Present yourself as confident, reliable, and willing to do whatever you can to represent them at the highest of levels.....dont make it like ""I need to make money...or....im desperate...or....Im doing this only so unemployemtn sees I am looking for a job.Instead, make it like you are an asset to them.....not that they are an asset to you.You will find you are treated with great respect with that typoe of approach.I'm all good now I got a full time job with the feds.Yep.People are just standing in lines waitin' to become teachers.Hoo boy.",specific,ORG,ent-54,0,m-750,8,NOM,2610,entity,the feds,em-917,37d781089c669131c5118415cf470422,h-16
"I never had any luck with the temp agencies, one time I got a voice mail from one of them saying they had a job for me.I called back, and the lady said sorry since you didn't answer we offered the job to the next person on the list who answered the phone, that didn't make any damn sense to me.Part of our business is very time sensitive.We may get a call from a client saying that they need something and called another service as well..and the one who performs the quickest gets the order.We explain that to our tempos when they apply with us so they understand the importance of always being reachable..to the best oif their ability.We have some temps that make great money with us.Great relationships.",nonspecific,ORG,ent-1215,0,m-1209,15,NOM,1511,entity,another service,em-1465,37d781089c669131c5118415cf470422,h-1507
"I never had any luck with the temp agencies, one time I got a voice mail from one of them saying they had a job for me.I called back, and the lady said sorry since you didn't answer we offered the job to the next person on the list who answered the phone, that didn't make any damn sense to me.Part of our business is very time sensitive.We may get a call from a client saying that they need something and called another service as well..and the one who performs the quickest gets the order.We explain that to our tempos when they apply with us so they understand the importance of always being reachable..to the best oif their ability.We have some temps that make great money with us.Great relationships.",nonspecific,PER,ent-1188,0,m-1203,4,PRO,1480,entity,they,em-1465,37d781089c669131c5118415cf470422,h-1507
"I never had any luck with the temp agencies, one time I got a voice mail from one of them saying they had a job for me.I called back, and the lady said sorry since you didn't answer we offered the job to the next person on the list who answered the phone, that didn't make any damn sense to me.Part of our business is very time sensitive.We may get a call from a client saying that they need something and called another service as well..and the one who performs the quickest gets the order.We explain that to our tempos when they apply with us so they understand the importance of always being reachable..to the best oif their ability.We have some temps that make great money with us.Great relationships.",nonspecific,PER,ent-1188,0,m-1880,4,PRO,4505,entity,they,em-1914,37d781089c669131c5118415cf470422,h-1507
"I never had any luck with the temp agencies, one time I got a voice mail from one of them saying they had a job for me.I called back, and the lady said sorry since you didn't answer we offered the job to the next person on the list who answered the phone, that didn't make any damn sense to me.Part of our business is very time sensitive.We may get a call from a client saying that they need something and called another service as well..and the one who performs the quickest gets the order.We explain that to our tempos when they apply with us so they understand the importance of always being reachable..to the best oif their ability.We have some temps that make great money with us.Great relationships.",nonspecific,ORG,ent-1215,0,m-1935,15,NOM,4536,entity,another service,em-1914,37d781089c669131c5118415cf470422,h-1507
We explain that to our tempos when they apply with us so they understand the importance of always being reachable..to the best oif their ability.We have some temps that make great money with us.Great relationships.We give them bonuses this time a year.Last few years they werent overly impressive...but the appreciation was there...and returned with GREAT quality and a great representation of our firm.I suggest you spread yourself out.It is a matter of establishing yourself with one who sees your differential...whatever it may be.,specific,ORG,ent-51,0,m-630,2,PRO,1808,giver,We,em-1567,37d781089c669131c5118415cf470422,h-1595
We explain that to our tempos when they apply with us so they understand the importance of always being reachable..to the best oif their ability.We have some temps that make great money with us.Great relationships.We give them bonuses this time a year.Last few years they werent overly impressive...but the appreciation was there...and returned with GREAT quality and a great representation of our firm.I suggest you spread yourself out.It is a matter of establishing yourself with one who sees your differential...whatever it may be.,nonspecific,PER,ent-1263,0,m-1272,4,PRO,1816,recipient,them,em-1567,37d781089c669131c5118415cf470422,h-1595
We explain that to our tempos when they apply with us so they understand the importance of always being reachable..to the best oif their ability.We have some temps that make great money with us.Great relationships.We give them bonuses this time a year.Last few years they werent overly impressive...but the appreciation was there...and returned with GREAT quality and a great representation of our firm.I suggest you spread yourself out.It is a matter of establishing yourself with one who sees your differential...whatever it may be.,specific,ORG,ent-51,0,m-678,2,PRO,4833,giver,We,em-2071,37d781089c669131c5118415cf470422,h-1595
We explain that to our tempos when they apply with us so they understand the importance of always being reachable..to the best oif their ability.We have some temps that make great money with us.Great relationships.We give them bonuses this time a year.Last few years they werent overly impressive...but the appreciation was there...and returned with GREAT quality and a great representation of our firm.I suggest you spread yourself out.It is a matter of establishing yourself with one who sees your differential...whatever it may be.,nonspecific,PER,ent-1263,0,m-1996,4,PRO,4841,recipient,them,em-2071,37d781089c669131c5118415cf470422,h-1595
"Although I think cab drivers pay slightly better.Just say, the topic is beyond your understanding and its all good.Great move having government take over loans and reduce the payment.You will be paying longer and more interest.Beyond my understanding?My mom just retired.She was a teacher.",specific,PER,ent-21,0,m-150,3,PRO,3144,giver,You,em-1700,37d781089c669131c5118415cf470422,h-1721
"People are just standing in lines waitin' to become teachers.Hoo boy.And cab drivers too!Although I think cab drivers pay slightly better.Just say, the topic is beyond your understanding and its all good.Great move having government take over loans and reduce the payment.You will be paying longer and more interest.",nonspecific,PER,ent-1645,0,m-1648,11,NOM,2963,recipient,cab drivers,em-1723,37d781089c669131c5118415cf470422,h-1744
Beyond my understanding?My mom just retired.She was a teacher.She started out with shit pay..long hours and lots of long nights.She had to get her masters.That and I've had a few friends that were college professors.One guy did it during his time searching for another radio producer gig.,specific,PER,ent-48,0,m-552,3,PRO,3409,recipient,She,em-1752,37d781089c669131c5118415cf470422,h-1773
Part of our business is very time sensitive.We may get a call from a client saying that they need something and called another service as well..and the one who performs the quickest gets the order.We explain that to our tempos when they apply with us so they understand the importance of always being reachable..to the best oif their ability.We have some temps that make great money with us.Great relationships.We give them bonuses this time a year.Last few years they werent overly impressive...but the appreciation was there...and returned with GREAT quality and a great representation of our firm.,nonspecific,PER,ent-1263,0,m-1257,10,NOM,1745,recipient,some temps,em-2020,37d781089c669131c5118415cf470422,h-2048
Part of our business is very time sensitive.We may get a call from a client saying that they need something and called another service as well..and the one who performs the quickest gets the order.We explain that to our tempos when they apply with us so they understand the importance of always being reachable..to the best oif their ability.We have some temps that make great money with us.Great relationships.We give them bonuses this time a year.Last few years they werent overly impressive...but the appreciation was there...and returned with GREAT quality and a great representation of our firm.,nonspecific,PER,ent-1263,0,m-1990,10,NOM,4770,recipient,some temps,em-2050,37d781089c669131c5118415cf470422,h-2048
"I have been seperated from my ex for now 2 yrs, we have 2 children together, he seems every fortnight from friday after school till sunday 5 o'clock, and some time more when he wanted them.All was fine until the subject of maintenance was brought up, he was giving £25 a week for both children but also said he would provied things such as nappies and school clothes but he never did, but since he never did a was wanting to ask for an extra £5 for both of them,he refused and phoned straight away the csa who says he should give £36 a week for the children and he also ran to a solicitor claiming i don't let him see the children, so we was suppose to go to mediation to resolve that issue but he canceled it.He now wants to go to court for a contact order.we also had a mortgage togethere, and says he will only remove my name if i gave parental responsability for my eldestwich i have never denied him from having.When he has the children he is always texting over silling little things but being quite mean about it and wants to get the social service involved.",specific,PER,ent-18,0,m-231,2,PRO,315,giver,he,em-805,39280a4d31d81837e17469e18a854116,h-16
"I have been seperated from my ex for now 2 yrs, we have 2 children together, he seems every fortnight from friday after school till sunday 5 o'clock, and some time more when he wanted them.All was fine until the subject of maintenance was brought up, he was giving £25 a week for both children but also said he would provied things such as nappies and school clothes but he never did, but since he never did a was wanting to ask for an extra £5 for both of them,he refused and phoned straight away the csa who says he should give £36 a week for the children and he also ran to a solicitor claiming i don't let him see the children, so we was suppose to go to mediation to resolve that issue but he canceled it.He now wants to go to court for a contact order.we also had a mortgage togethere, and says he will only remove my name if i gave parental responsability for my eldestwich i have never denied him from having.When he has the children he is always texting over silling little things but being quite mean about it and wants to get the social service involved.",specific,PER,ent-21,0,m-375,13,NOM,344,beneficiary,both children,em-805,39280a4d31d81837e17469e18a854116,h-16
"I have been seperated from my ex for now 2 yrs, we have 2 children together, he seems every fortnight from friday after school till sunday 5 o'clock, and some time more when he wanted them.All was fine until the subject of maintenance was brought up, he was giving £25 a week for both children but also said he would provied things such as nappies and school clothes but he never did, but since he never did a was wanting to ask for an extra £5 for both of them,he refused and phoned straight away the csa who says he should give £36 a week for the children and he also ran to a solicitor claiming i don't let him see the children, so we was suppose to go to mediation to resolve that issue but he canceled it.He now wants to go to court for a contact order.we also had a mortgage togethere, and says he will only remove my name if i gave parental responsability for my eldestwich i have never denied him from having.When he has the children he is always texting over silling little things but being quite mean about it and wants to get the social service involved.",None ,money,f-923,1,None,3,None,329,money,£25,em-805,39280a4d31d81837e17469e18a854116,h-16
"I have been seperated from my ex for now 2 yrs, we have 2 children together, he seems every fortnight from friday after school till sunday 5 o'clock, and some time more when he wanted them.All was fine until the subject of maintenance was brought up, he was giving £25 a week for both children but also said he would provied things such as nappies and school clothes but he never did, but since he never did a was wanting to ask for an extra £5 for both of them,he refused and phoned straight away the csa who says he should give £36 a week for the children and he also ran to a solicitor claiming i don't let him see the children, so we was suppose to go to mediation to resolve that issue but he canceled it.He now wants to go to court for a contact order.we also had a mortgage togethere, and says he will only remove my name if i gave parental responsability for my eldestwich i have never denied him from having.When he has the children he is always texting over silling little things but being quite mean about it and wants to get the social service involved.",specific,PER,ent-18,0,m-255,2,PRO,526,entity,he,em-826,39280a4d31d81837e17469e18a854116,h-801
"I have been seperated from my ex for now 2 yrs, we have 2 children together, he seems every fortnight from friday after school till sunday 5 o'clock, and some time more when he wanted them.All was fine until the subject of maintenance was brought up, he was giving £25 a week for both children but also said he would provied things such as nappies and school clothes but he never did, but since he never did a was wanting to ask for an extra £5 for both of them,he refused and phoned straight away the csa who says he should give £36 a week for the children and he also ran to a solicitor claiming i don't let him see the children, so we was suppose to go to mediation to resolve that issue but he canceled it.He now wants to go to court for a contact order.we also had a mortgage togethere, and says he will only remove my name if i gave parental responsability for my eldestwich i have never denied him from having.When he has the children he is always texting over silling little things but being quite mean about it and wants to get the social service involved.",specific,ORG,ent-57,0,m-603,3,NAM,566,entity,csa,em-826,39280a4d31d81837e17469e18a854116,h-801
"I have been seperated from my ex for now 2 yrs, we have 2 children together, he seems every fortnight from friday after school till sunday 5 o'clock, and some time more when he wanted them.All was fine until the subject of maintenance was brought up, he was giving £25 a week for both children but also said he would provied things such as nappies and school clothes but he never did, but since he never did a was wanting to ask for an extra £5 for both of them,he refused and phoned straight away the csa who says he should give £36 a week for the children and he also ran to a solicitor claiming i don't let him see the children, so we was suppose to go to mediation to resolve that issue but he canceled it.He now wants to go to court for a contact order.we also had a mortgage togethere, and says he will only remove my name if i gave parental responsability for my eldestwich i have never denied him from having.When he has the children he is always texting over silling little things but being quite mean about it and wants to get the social service involved.",specific,PER,ent-21,0,m-375,13,NOM,344,recipient,both children,em-926,39280a4d31d81837e17469e18a854116,h-978
"I have been seperated from my ex for now 2 yrs, we have 2 children together, he seems every fortnight from friday after school till sunday 5 o'clock, and some time more when he wanted them.All was fine until the subject of maintenance was brought up, he was giving £25 a week for both children but also said he would provied things such as nappies and school clothes but he never did, but since he never did a was wanting to ask for an extra £5 for both of them,he refused and phoned straight away the csa who says he should give £36 a week for the children and he also ran to a solicitor claiming i don't let him see the children, so we was suppose to go to mediation to resolve that issue but he canceled it.He now wants to go to court for a contact order.we also had a mortgage togethere, and says he will only remove my name if i gave parental responsability for my eldestwich i have never denied him from having.When he has the children he is always texting over silling little things but being quite mean about it and wants to get the social service involved.",specific,PER,ent-18,0,m-237,2,PRO,372,giver,he,em-926,39280a4d31d81837e17469e18a854116,h-978
"I have been seperated from my ex for now 2 yrs, we have 2 children together, he seems every fortnight from friday after school till sunday 5 o'clock, and some time more when he wanted them.All was fine until the subject of maintenance was brought up, he was giving £25 a week for both children but also said he would provied things such as nappies and school clothes but he never did, but since he never did a was wanting to ask for an extra £5 for both of them,he refused and phoned straight away the csa who says he should give £36 a week for the children and he also ran to a solicitor claiming i don't let him see the children, so we was suppose to go to mediation to resolve that issue but he canceled it.He now wants to go to court for a contact order.we also had a mortgage togethere, and says he will only remove my name if i gave parental responsability for my eldestwich i have never denied him from having.When he has the children he is always texting over silling little things but being quite mean about it and wants to get the social service involved.",None ,commodity,f-968,1,None,7,None,404,thing,nappies,em-926,39280a4d31d81837e17469e18a854116,h-978
"I have been seperated from my ex for now 2 yrs, we have 2 children together, he seems every fortnight from friday after school till sunday 5 o'clock, and some time more when he wanted them.All was fine until the subject of maintenance was brought up, he was giving £25 a week for both children but also said he would provied things such as nappies and school clothes but he never did, but since he never did a was wanting to ask for an extra £5 for both of them,he refused and phoned straight away the csa who says he should give £36 a week for the children and he also ran to a solicitor claiming i don't let him see the children, so we was suppose to go to mediation to resolve that issue but he canceled it.He now wants to go to court for a contact order.we also had a mortgage togethere, and says he will only remove my name if i gave parental responsability for my eldestwich i have never denied him from having.When he has the children he is always texting over silling little things but being quite mean about it and wants to get the social service involved.",None ,commodity,f-975,1,None,14,None,416,thing,school clothes,em-926,39280a4d31d81837e17469e18a854116,h-978
"All was fine until the subject of maintenance was brought up, he was giving £25 a week for both children but also said he would provied things such as nappies and school clothes but he never did, but since he never did a was wanting to ask for an extra £5 for both of them,he refused and phoned straight away the csa who says he should give £36 a week for the children and he also ran to a solicitor claiming i don't let him see the children, so we was suppose to go to mediation to resolve that issue but he canceled it.He now wants to go to court for a contact order.we also had a mortgage togethere, and says he will only remove my name if i gave parental responsability for my eldestwich i have never denied him from having.When he has the children he is always texting over silling little things but being quite mean about it and wants to get the social service involved.It's starting to be quite a headhache and realy don't not what to do and where i stand in all off this.1.Don't ask for help from internet forums on such important issues.",specific,PER,ent-18,0,m-309,2,PRO,1009,entity,he,em-986,39280a4d31d81837e17469e18a854116,h-1007
"Speak to a solicitor.got a solicitor but it doesn't seem to move forwardHi Pimky,Im sorry your having such a rough time at the moment, ex's can be a nightmare!My husband has been going through courts trying to see his daughter for the past 8 years and basically most judges will want the children to have stability, The judge granted us access every other weekend from Fri after school to Sun afternoon which is what your ex was having so i think that is acceptable,If you explain to your lawyer that you want your children to see their dad every other weekend as before then its likely his laywer will say there isnt really any point in going to court as you are allowing access, Your ex may try and get a little more access and this can result in letters between laywersIt also looks good for you that he didnt attend mediation, It makes HIM look unreansonableIf he doesnt have parental responsability and you are fine with him having it then ask your lawyer to sort it out, My husband has parental responsability of his daughter and basically all in means is that he will be informed if god forbid my step daughter was in and accident, He can contact her school for information about attendance etcDont worry about SS if he does call them they may come and see you but if you are coping and the kids are safe then they wont get involvedGood luck and keep your chin up",specific,PER,ent-18,0,m-333,2,PRO,2337,person,he,em-1111,39280a4d31d81837e17469e18a854116,h-1132
"Speak to a solicitor.got a solicitor but it doesn't seem to move forwardHi Pimky,Im sorry your having such a rough time at the moment, ex's can be a nightmare!My husband has been going through courts trying to see his daughter for the past 8 years and basically most judges will want the children to have stability, The judge granted us access every other weekend from Fri after school to Sun afternoon which is what your ex was having so i think that is acceptable,If you explain to your lawyer that you want your children to see their dad every other weekend as before then its likely his laywer will say there isnt really any point in going to court as you are allowing access, Your ex may try and get a little more access and this can result in letters between laywersIt also looks good for you that he didnt attend mediation, It makes HIM look unreansonableIf he doesnt have parental responsability and you are fine with him having it then ask your lawyer to sort it out, My husband has parental responsability of his daughter and basically all in means is that he will be informed if god forbid my step daughter was in and accident, He can contact her school for information about attendance etcDont worry about SS if he does call them they may come and see you but if you are coping and the kids are safe then they wont get involvedGood luck and keep your chin up",specific,PER,ent-42,0,m-561,16,NOM,2636,victim,my step daughter,em-1259,39280a4d31d81837e17469e18a854116,h-1280
(5) Obama has pushed tough sanctions on Iran and has taken a strong stance against them.He has done something Bush has done and got Europe on board with his policy.(6) Obama stated in ISLAMIC COUNTRIES that the bond btw American and Israel is unshakable.(7) Obama has provided funds for the Iron Dome.(8) Imports from Israel have increased under Obama.(9) Obama is killing terrorist and fighting the war on terror with vigor.(10) He has sold high tech military warplanes to Israel and is committed to Israel's military tech edge.,specific,PER,ent-18,0,m-321,5,NAM,1917,giver,Obama,em-1143,3a0d64b5cb2bc7319e803e344dc695b5,h-16
"(7) Obama has provided funds for the Iron Dome.(8) Imports from Israel have increased under Obama.(9) Obama is killing terrorist and fighting the war on terror with vigor.(10) He has sold high tech military warplanes to Israel and is committed to Israel's military tech edge.So Obama talks bad about the so-called ""Settlements"" (which is a bullshit argument in the end), well in this PC antisemitic world he needs to in order to save face around the world, esp the antisemitic Saudis, Egyptians and Europeans.So he insulted Bibi.Bibi seems like an asshole.",specific,PER,ent-18,0,m-339,2,PRO,2092,giver,He,em-1164,3a0d64b5cb2bc7319e803e344dc695b5,h-1141
"(7) Obama has provided funds for the Iron Dome.(8) Imports from Israel have increased under Obama.(9) Obama is killing terrorist and fighting the war on terror with vigor.(10) He has sold high tech military warplanes to Israel and is committed to Israel's military tech edge.So Obama talks bad about the so-called ""Settlements"" (which is a bullshit argument in the end), well in this PC antisemitic world he needs to in order to save face around the world, esp the antisemitic Saudis, Egyptians and Europeans.So he insulted Bibi.Bibi seems like an asshole.",specific,GPE,ent-78,0,m-909,6,NAM,2136,recipient,Israel,em-1164,3a0d64b5cb2bc7319e803e344dc695b5,h-1141
"(7) Obama has provided funds for the Iron Dome.(8) Imports from Israel have increased under Obama.(9) Obama is killing terrorist and fighting the war on terror with vigor.(10) He has sold high tech military warplanes to Israel and is committed to Israel's military tech edge.So Obama talks bad about the so-called ""Settlements"" (which is a bullshit argument in the end), well in this PC antisemitic world he needs to in order to save face around the world, esp the antisemitic Saudis, Egyptians and Europeans.So he insulted Bibi.Bibi seems like an asshole.",None ,vehicle,f-1674,1,None,28,None,2104,thing,high tech military warplanes,em-1164,3a0d64b5cb2bc7319e803e344dc695b5,h-1141
"(6) Obama stated in ISLAMIC COUNTRIES that the bond btw American and Israel is unshakable.(7) Obama has provided funds for the Iron Dome.(8) Imports from Israel have increased under Obama.(9) Obama is killing terrorist and fighting the war on terror with vigor.(10) He has sold high tech military warplanes to Israel and is committed to Israel's military tech edge.So Obama talks bad about the so-called ""Settlements"" (which is a bullshit argument in the end), well in this PC antisemitic world he needs to in order to save face around the world, esp the antisemitic Saudis, Egyptians and Europeans.So he insulted Bibi.",specific,PER,ent-18,0,m-333,5,NAM,2017,agent,Obama,em-1202,3a0d64b5cb2bc7319e803e344dc695b5,h-1223
"(6) Obama stated in ISLAMIC COUNTRIES that the bond btw American and Israel is unshakable.(7) Obama has provided funds for the Iron Dome.(8) Imports from Israel have increased under Obama.(9) Obama is killing terrorist and fighting the war on terror with vigor.(10) He has sold high tech military warplanes to Israel and is committed to Israel's military tech edge.So Obama talks bad about the so-called ""Settlements"" (which is a bullshit argument in the end), well in this PC antisemitic world he needs to in order to save face around the world, esp the antisemitic Saudis, Egyptians and Europeans.So he insulted Bibi.",specific,PER,ent-1231,0,m-1225,9,NOM,2034,victim,terrorist,em-1202,3a0d64b5cb2bc7319e803e344dc695b5,h-1223
"(6) Obama stated in ISLAMIC COUNTRIES that the bond btw American and Israel is unshakable.(7) Obama has provided funds for the Iron Dome.(8) Imports from Israel have increased under Obama.(9) Obama is killing terrorist and fighting the war on terror with vigor.(10) He has sold high tech military warplanes to Israel and is committed to Israel's military tech edge.So Obama talks bad about the so-called ""Settlements"" (which is a bullshit argument in the end), well in this PC antisemitic world he needs to in order to save face around the world, esp the antisemitic Saudis, Egyptians and Europeans.So he insulted Bibi.",specific,PER,ent-18,0,m-333,5,NAM,2017,attacker,Obama,em-1234,3a0d64b5cb2bc7319e803e344dc695b5,h-1262
"(6) Obama stated in ISLAMIC COUNTRIES that the bond btw American and Israel is unshakable.(7) Obama has provided funds for the Iron Dome.(8) Imports from Israel have increased under Obama.(9) Obama is killing terrorist and fighting the war on terror with vigor.(10) He has sold high tech military warplanes to Israel and is committed to Israel's military tech edge.So Obama talks bad about the so-called ""Settlements"" (which is a bullshit argument in the end), well in this PC antisemitic world he needs to in order to save face around the world, esp the antisemitic Saudis, Egyptians and Europeans.So he insulted Bibi.",specific,PER,ent-1231,0,m-1225,9,NOM,2034,target,terrorist,em-1234,3a0d64b5cb2bc7319e803e344dc695b5,h-1262
"So why would I vote for him and encourage others to pull the lever for Obama?Because after he wins the election he can tell AIPAC to stuff it.Then I believe he will be the first setting American to read the riot act to Israel and it's fascist government.Not having to worry about re-election will allow Obama the freedom to throw off the Zionist slave chains that are wrapped around the presidency.Placing America first; and Israel a far distance second.Obama taking this patriotic stance is far more important for our nation's security and safety than any other single issue or threat we face as a freedom loving people.Voting for a man with so much muslm blood on his hands, sad.",None ,title,f-1702,1,None,10,None,5189,position,presidency,em-1372,3a0d64b5cb2bc7319e803e344dc695b5,h-1393
(4) Obama has protected Israel in the antiIsrael UN.(5) Obama has pushed tough sanctions on Iran and has taken a strong stance against them.He has done something Bush has done and got Europe on board with his policy.(6) Obama stated in ISLAMIC COUNTRIES that the bond btw American and Israel is unshakable.(7) Obama has provided funds for the Iron Dome.(8) Imports from Israel have increased under Obama.(9) Obama is killing terrorist and fighting the war on terror with vigor.,specific,PER,ent-18,0,m-315,5,NAM,1826,entity,Obama,em-1721,3a0d64b5cb2bc7319e803e344dc695b5,h-1749
(4) Obama has protected Israel in the antiIsrael UN.(5) Obama has pushed tough sanctions on Iran and has taken a strong stance against them.He has done something Bush has done and got Europe on board with his policy.(6) Obama stated in ISLAMIC COUNTRIES that the bond btw American and Israel is unshakable.(7) Obama has provided funds for the Iron Dome.(8) Imports from Israel have increased under Obama.(9) Obama is killing terrorist and fighting the war on terror with vigor.,specific,GPE,ent-84,0,m-1011,17,NOM,1842,place,ISLAMIC COUNTRIES,em-1721,3a0d64b5cb2bc7319e803e344dc695b5,h-1749
"He has done something Bush has done and got Europe on board with his policy.(6) Obama stated in ISLAMIC COUNTRIES that the bond btw American and Israel is unshakable.(7) Obama has provided funds for the Iron Dome.(8) Imports from Israel have increased under Obama.(9) Obama is killing terrorist and fighting the war on terror with vigor.(10) He has sold high tech military warplanes to Israel and is committed to Israel's military tech edge.So Obama talks bad about the so-called ""Settlements"" (which is a bullshit argument in the end), well in this PC antisemitic world he needs to in order to save face around the world, esp the antisemitic Saudis, Egyptians and Europeans.",specific,GPE,ent-78,0,m-903,6,NAM,1978,origin,Israel,em-1751,3a0d64b5cb2bc7319e803e344dc695b5,h-1772
"He is bad for America and the American economy and that is what we need to care about!So Please Stop Pelting The Obama AntiIsrael Propaganda!!!You guys realize that when you have rabid anti-Obama RWers with Obama-Derangement Syndrome like Ghooks making public statements like this means that the GOP is toast this election right?I mean, if you haven't noticed, Obama's been systematically removing all possibilities of RW talking points and attacks against him and the left with his Presidency.They can't call him weak, ask Osama and Khadaffi...and the pirates, they can't call him Anti-Israel, for the things just said, they can't call him anti-guns, we've never experienced more gun freedom and loose laws concerning them, the list goes on.Thinking America recognizes this already, and the fold will only grow.",specific,PER,ent-1595,0,m-1589,22,NOM,2861,entity,rabid anti-Obama RWers,em-1774,3a0d64b5cb2bc7319e803e344dc695b5,h-1802
"He is bad for America and the American economy and that is what we need to care about!So Please Stop Pelting The Obama AntiIsrael Propaganda!!!You guys realize that when you have rabid anti-Obama RWers with Obama-Derangement Syndrome like Ghooks making public statements like this means that the GOP is toast this election right?I mean, if you haven't noticed, Obama's been systematically removing all possibilities of RW talking points and attacks against him and the left with his Presidency.They can't call him weak, ask Osama and Khadaffi...and the pirates, they can't call him Anti-Israel, for the things just said, they can't call him anti-guns, we've never experienced more gun freedom and loose laws concerning them, the list goes on.Thinking America recognizes this already, and the fold will only grow.",specific,PER,ent-8,0,m-159,6,NAM,2921,entity,Ghooks,em-1774,3a0d64b5cb2bc7319e803e344dc695b5,h-1802
"my brother has joint parental responsibility and has been having frquent access to his son but his mother phones 2 or 3 times while he has his son so he politely said to her dont phone while he is with me as it is my time with him..she then started sending abusive text to him...when she came to pick there son up she started shouting and threatening my brother in front of neighbours and there son he stayed calm...then the mothers new boyfriend started threatening my brother saying your going to die im going to kill you and burn your house down then turned to my brothers 3 year old son and said say good bye to daddy as it is the last time you are going to see him...police have been called......she says she is going to move miles away with there son and her new boyfriend what can my brother do can he stop it....also if she just up and goes with there son what can my brother do....also can he have a say in the amount of times she has moved and moved his school....and could he have a good chance of getting full custody of there son as she has done credit card frauding,drink driving, driving under the influence of drugs,drug dealing,tried to over dose,racing round with lads in cars,boy racing,she has even asked my brother to buy food shopping in as she had no food for there sonI would say you brother wants to stay strong and ignore the insults and threats.The only thing that is important is the child.Taking legal advice (not the opinions of people here, no offence) would be a good idea.",specific,PER,ent-24,0,m-402,3,PRO,298,entity,she,em-765,3b34a76a3589417f5db02883b47280a6,h-732
